ID,Sexo,Ciudad,Asistencia,Nota_Final,Situación_Laboral,Nivel_Educativo_Prev,Conectividad_Hogar,Rango_Etario,Estado_Académico
L-2025-1001,M,La Matanza,35,"6,99",Monotributista / independiente,Secundario completo,No,45 a 54,Aprobado
L-2025-1002,F,Mar del Plata,34,"7,70",Monotributista / independiente,Secundario completo,Si,35 a 44,Aprobado
L-2025-1003,F,La Plata,32,"8,72",Monotributista / independiente,Secundario completo,No,25 a 34,Aprobado
L-2025-1004,F,General San Martín,36,"9,02",No declara,Secundario completo,No,45 a 54,Destacado
L-2025-1005,F,Lomas de Zamora,36,"6,87",Monotributista / independiente,Universitario completo,No,35 a 44,Aprobado
L-2025-1006,F,General San Martín,38,"8,76",Empleo informal,Secundario completo,Si,45 a 54,Aprobado
L-2025-1007,F,Mar del Plata,32,"8,83",Ama de casa / tareas de cuidado,Secundario incompleto,No,55 y más,Aprobado
L-2025-1008,M,La Matanza,38,"5,71",Empleado en relación de dependencia,Secundario incompleto,Si,18 a 24,Desaprobado
L-2025-1009,F,Lomas de Zamora,37,"9,04",Ama de casa / tareas de cuidado,Secundario completo,No,25 a 34,Destacado
L-2025-1010,M,Quilmes,31,"9,73",Ama de casa / tareas de cuidado,Secundario completo,Si,25 a 34,Destacado
L-2025-1011,F,Lomas de Zamora,38,"8,95",Ama de casa / tareas de cuidado,Secundario completo,Si,25 a 34,Aprobado
L-2025-1012,M,La Matanza,34,"3,47",Ama de casa / tareas de cuidado,Secundario completo,Si,35 a 44,Desaprobado
L-2025-1013,F,Mar del Plata,17,"8,74",Ama de casa / tareas de cuidado,Primario completo,Si,25 a 34,Aprobado
L-2025-1014,F,Merlo,37,"7,55",Empleo informal,Secundario completo,Si,18 a 24,Aprobado
L-2025-1015,M,La Matanza,34,"10,00",No declara,Secundario completo,Si,25 a 34,Destacado
L-2025-1016,M,La Plata,20,"8,50",Ama de casa / tareas de cuidado,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1017,F,La Plata,32,"8,15",Ama de casa / tareas de cuidado,Secundario completo,Si,35 a 44,Aprobado
L-2025-1018,F,Quilmes,34,"7,49",Ama de casa / tareas de cuidado,Sin escolaridad formal,No,25 a 34,Aprobado
L-2025-1019,M,Quilmes,36,"5,68",Empleo informal,Secundario incompleto,Si,35 a 44,Desaprobado
L-2025-1020,M,La Plata,34,"9,31",Ama de casa / tareas de cuidado,Secundario completo,Si,45 a 54,Destacado
L-2025-1021,F,Almirante Brown,38,"5,30",Desempleado,Secundario incompleto,Si,35 a 44,Desaprobado
L-2025-1022,F,La Matanza,35,"7,50",Ama de casa / tareas de cuidado,Sin escolaridad formal,Si,25 a 34,Aprobado
L-2025-1023,F,General San Martín,39,"5,58",Monotributista / independiente,Universitario incompleto,Si,35 a 44,Desaprobado
L-2025-1024,F,Mar del Plata,36,"7,90",No declara,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1025,F,Lomas de Zamora,33,"7,49",Monotributista / independiente,Terciario en curso,Si,25 a 34,Aprobado
L-2025-1026,F,Merlo,35,"9,12",Desempleado,Terciario completo,Si,45 a 54,Destacado
L-2025-1027,M,Mar del Plata,32,"5,09",Empleo informal,Primario completo,Si,35 a 44,Desaprobado
L-2025-1028,M,General San Martín,35,"5,98",Monotributista / independiente,Secundario completo,Si,35 a 44,Desaprobado
L-2025-1029,F,Mar del Plata,37,"8,44",Monotributista / independiente,Primario completo,No,25 a 34,Aprobado
L-2025-1030,M,La Matanza,38,"5,35",Desempleado,Secundario completo,Si,18 a 24,Desaprobado
L-2025-1031,M,Mar del Plata,36,"7,03",Empleado en relación de dependencia,Secundario completo,Si,25 a 34,Aprobado
L-2025-1032,M,La Matanza,34,"6,24",Monotributista / independiente,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1033,M,La Matanza,16,"8,99",Empleado en relación de dependencia,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1034,M,Lanús,32,"4,18",Desempleado,Universitario completo,Si,55 y más,Desaprobado
L-2025-1035,F,Mar del Plata,34,"9,67",Empleado en relación de dependencia,Secundario completo,No,18 a 24,Destacado
L-2025-1036,M,Lomas de Zamora,22,"6,59",Ama de casa / tareas de cuidado,Secundario completo,Si,55 y más,Aprobado
L-2025-1037,M,General San Martín,34,"6,40",Ama de casa / tareas de cuidado,Primario incompleto,Si,18 a 24,Aprobado
L-2025-1038,F,Lomas de Zamora,36,"8,55",Desempleado,Terciario en curso,Si,25 a 34,Aprobado
L-2025-1039,M,La Matanza,36,"6,67",Monotributista / independiente,Secundario incompleto,Si,18 a 24,Aprobado
L-2025-1040,F,Lomas de Zamora,15,"7,90",Monotributista / independiente,Secundario completo,Si,25 a 34,Aprobado
L-2025-1041,M,La Plata,36,"5,58",Desempleado,Primario completo,Si,25 a 34,Destacado
L-2025-1042,F,La Plata,35,"8,26",Trabajos esporádicos,Secundario completo,Si,25 a 34,Aprobado
L-2025-1043,M,Quilmes,38,"8,81",Empleo informal,Secundario incompleto,Si,45 a 54,Aprobado
L-2025-1044,F,Lomas de Zamora,35,"5,60",Empleado en relación de dependencia,Secundario incompleto,No,18 a 24,Desaprobado
L-2025-1045,F,Quilmes,35,"8,18",Empleo informal,Terciario en curso,No,25 a 34,Aprobado
L-2025-1046,M,Lomas de Zamora,21,"4,43",Trabajos esporádicos,Sin escolaridad formal,Si,45 a 54,Destacado
L-2025-1047,F,La Matanza,37,"7,15",Monotributista / independiente,Primario incompleto,Si,25 a 34,Aprobado
L-2025-1048,M,Almirante Brown,37,"6,55",No declara,Universitario incompleto,Si,35 a 44,Aprobado
L-2025-1049,F,Avellaneda,34,"8,72",Empleado en relación de dependencia,Secundario completo,Si,45 a 54,Aprobado
L-2025-1050,F,Mar del Plata,35,"4,42",Trabajos esporádicos,Secundario incompleto,No,45 a 54,Destacado
L-2025-1051,M,La Matanza,35,"4,08",Empleo informal,Secundario incompleto,Si,25 a 34,Destacado
L-2025-1052,F,Merlo,35,"4,88",Empleado en relación de dependencia,Secundario completo,No,55 y más,Desaprobado
L-2025-1053,F,Mar del Plata,39,"7,22",Empleo informal,Sin escolaridad formal,Si,45 a 54,Aprobado
L-2025-1054,F,La Plata,36,"2,76",Ama de casa / tareas de cuidado,Terciario en curso,No,55 y más,Desaprobado
L-2025-1055,M,La Matanza,35,"6,73",Ama de casa / tareas de cuidado,Universitario incompleto,Si,35 a 44,Aprobado
L-2025-1056,F,Lomas de Zamora,15,"7,79",Empleado en relación de dependencia,Universitario incompleto,Si,55 y más,Aprobado
L-2025-1057,F,La Matanza,34,"4,69",Monotributista / independiente,Terciario completo,No,55 y más,Desaprobado
L-2025-1058,F,Lomas de Zamora,35,"8,30",Monotributista / independiente,Universitario incompleto,Si,25 a 34,Aprobado
L-2025-1059,F,Quilmes,25,"10,00",Monotributista / independiente,Terciario en curso,No,45 a 54,Destacado
L-2025-1060,F,Quilmes,33,"10,00",Monotributista / independiente,Secundario completo,No,25 a 34,Destacado
L-2025-1061,M,Merlo,20,"7,04",Empleado en relación de dependencia,Secundario completo,Si,18 a 24,Aprobado
L-2025-1062,F,La Plata,35,"8,06",Monotributista / independiente,Secundario completo,Si,25 a 34,Aprobado
L-2025-1063,F,La Plata,35,"7,55",Monotributista / independiente,Secundario completo,Si,25 a 34,Aprobado
L-2025-1064,F,La Matanza,38,"6,32",Ama de casa / tareas de cuidado,Secundario incompleto,Si,35 a 44,Aprobado
L-2025-1065,F,Lomas de Zamora,35,"7,01",Empleo informal,Primario incompleto,No,25 a 34,Destacado
L-2025-1066,M,La Matanza,20,"5,38",Ama de casa / tareas de cuidado,Secundario incompleto,No,35 a 44,Desaprobado
L-2025-1067,F,Quilmes,34,"7,00",Ama de casa / tareas de cuidado,Secundario completo,Si,45 a 54,Aprobado
L-2025-1068,F,La Plata,22,"5,87",Ama de casa / tareas de cuidado,Secundario completo,Si,18 a 24,Desaprobado
L-2025-1069,M,Lanús,33,"9,31",Ama de casa / tareas de cuidado,Secundario completo,No,25 a 34,Destacado
L-2025-1070,M,La Plata,37,"6,09",Empleado en relación de dependencia,Secundario completo,Si,35 a 44,Aprobado
L-2025-1071,F,Almirante Brown,32,"6,70",Empleado en relación de dependencia,Primario completo,Si,25 a 34,Aprobado
L-2025-1072,F,La Matanza,33,"9,68",Ama de casa / tareas de cuidado,Terciario completo,Si,45 a 54,Destacado
L-2025-1073,F,Quilmes,37,"7,93",Desempleado,Secundario completo,Si,25 a 34,Aprobado
L-2025-1074,M,La Matanza,35,"7,28",Desempleado,Secundario completo,No,18 a 24,Aprobado
L-2025-1075,M,Almirante Brown,34,"9,32",Desempleado,Secundario completo,Si,25 a 34,Destacado
L-2025-1076,F,Lanús,35,"10,00",Empleado en relación de dependencia,Universitario completo,Si,25 a 34,Destacado
L-2025-1077,M,La Plata,37,"7,30",Desempleado,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1078,M,Mar del Plata,34,"5,63",Empleado en relación de dependencia,Secundario incompleto,No,35 a 44,Desaprobado
L-2025-1079,M,Merlo,18,"7,51",Ama de casa / tareas de cuidado,Primario completo,No,25 a 34,Aprobado
L-2025-1080,F,Lomas de Zamora,31,"8,01",Empleado en relación de dependencia,Terciario en curso,Si,35 a 44,Aprobado
L-2025-1081,M,La Matanza,35,"10,00",Empleo informal,Secundario incompleto,Si,25 a 34,Destacado
L-2025-1082,F,General San Martín,37,"3,70",Monotributista / independiente,Secundario incompleto,Si,18 a 24,Desaprobado
L-2025-1083,F,La Plata,35,"6,56",Desempleado,Primario completo,No,25 a 34,Aprobado
L-2025-1084,M,General San Martín,33,"8,21",Desempleado,Terciario en curso,Si,25 a 34,Aprobado
L-2025-1085,F,Quilmes,34,"8,55",Desempleado,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1086,F,La Matanza,34,"8,31",Empleado en relación de dependencia,Secundario completo,No,45 a 54,Aprobado
L-2025-1087,F,La Plata,35,"6,04",Desempleado,Secundario incompleto,No,35 a 44,Aprobado
L-2025-1088,F,La Matanza,35,"5,96",Monotributista / independiente,Terciario en curso,Si,18 a 24,Desaprobado
L-2025-1089,F,La Matanza,35,"7,47",Monotributista / independiente,Terciario en curso,No,55 y más,Aprobado
L-2025-1090,F,Avellaneda,33,"4,40",Empleado en relación de dependencia,Universitario incompleto,Si,35 a 44,Desaprobado
L-2025-1091,M,La Plata,34,"8,62",Empleado en relación de dependencia,Secundario incompleto,No,25 a 34,Aprobado
L-2025-1092,M,General San Martín,17,"4,43",Ama de casa / tareas de cuidado,Sin escolaridad formal,Si,25 a 34,Aprobado
L-2025-1093,F,La Matanza,37,"5,21",Monotributista / independiente,Terciario en curso,Si,35 a 44,Desaprobado
L-2025-1094,M,Mar del Plata,35,"9,56",Ama de casa / tareas de cuidado,Secundario completo,No,25 a 34,Destacado
L-2025-1095,F,La Matanza,22,"5,35",Monotributista / independiente,Primario completo,Si,18 a 24,Desaprobado
L-2025-1096,F,Mar del Plata,33,"6,58",Monotributista / independiente,Terciario en curso,Si,35 a 44,Aprobado
L-2025-1097,M,Avellaneda,38,"7,63",Monotributista / independiente,Secundario completo,Si,18 a 24,Aprobado
L-2025-1098,M,La Matanza,36,"5,43",Desempleado,Universitario incompleto,Si,18 a 24,Desaprobado
L-2025-1099,M,La Plata,34,"8,36",Empleado en relación de dependencia,Primario completo,No,45 a 54,Destacado
L-2025-1100,F,Quilmes,35,"5,20",Ama de casa / tareas de cuidado,Terciario completo,No,18 a 24,Desaprobado
L-2025-1101,M,General San Martín,35,"7,51",Desempleado,Terciario completo,Si,25 a 34,Aprobado
L-2025-1102,F,General San Martín,20,"9,00",Empleado en relación de dependencia,Secundario incompleto,Si,45 a 54,Aprobado
L-2025-1103,F,Almirante Brown,33,"7,22",Trabajos esporádicos,Secundario incompleto,Si,35 a 44,Aprobado
L-2025-1104,M,Mar del Plata,32,"7,37",Empleo informal,Secundario completo,Si,55 y más,Aprobado
L-2025-1105,M,Merlo,21,"4,46",Empleado en relación de dependencia,Sin escolaridad formal,Si,25 a 34,Destacado
L-2025-1106,F,Almirante Brown,39,"5,27",Empleo informal,Primario completo,Si,45 a 54,Aprobado
L-2025-1107,M,La Matanza,35,"8,09",Empleado en relación de dependencia,Secundario incompleto,Si,25 a 34,Aprobado
L-2025-1108,M,La Matanza,32,"6,22",Empleo informal,Terciario completo,Si,35 a 44,Aprobado
L-2025-1109,M,Merlo,34,"5,29",Monotributista / independiente,Secundario completo,Si,35 a 44,Desaprobado
L-2025-1110,M,Quilmes,34,"6,03",Empleado en relación de dependencia,Secundario completo,No,35 a 44,Aprobado
L-2025-1111,F,La Plata,37,"8,69",Desempleado,Universitario incompleto,Si,45 a 54,Aprobado
L-2025-1112,M,Quilmes,38,"6,85",Desempleado,Sin escolaridad formal,Si,35 a 44,Aprobado
L-2025-1113,F,La Matanza,37,"6,32",No declara,Universitario incompleto,Si,45 a 54,Aprobado
L-2025-1114,F,La Matanza,39,"7,72",Empleo informal,Secundario completo,No,25 a 34,Aprobado
