ID,Sexo,Ciudad,Asistencia,Nota_Final,Situación_Laboral,Nivel_Educativo_Prev,Conectividad_Hogar,Rango_Etario,Estado_Académico
L-2026-1001,F,La Matanza,36.4,"6,26",Empleado en relación de dependencia,Secundario incompleto,Si,45 a 54,Aprobado
L-2026-1002,M,Quilmes,30.8,"7,26",Monotributista / independiente,Secundario completo,Si,45 a 54,Aprobado
L-2026-1003,M,La Plata,31.6,"6,80",Empleado en relación de dependencia,Secundario completo,Si,45 a 54,Aprobado
L-2026-1004,M,Lomas de Zamora,39.0,"3,55",Empleado en relación de dependencia,Secundario completo,Si,18 a 24,Desaprobado
L-2026-1005,F,Merlo,36.1,"5,61",Empleado en relación de dependencia,Secundario completo,Si,18 a 24,Desaprobado
L-2026-1006,F,La Plata,30.1,"8,98",Ama de casa / tareas de cuidado,Primario incompleto,Si,45 a 54,Destacado
L-2026-1007,F,Mar del Plata,31.0,"8,38",Empleado en relación de dependencia,Secundario completo,No,25 a 34,Aprobado
L-2026-1008,M,General San Martín,36.6,"7,58",Monotributista / independiente,Primario completo,No,25 a 34,Aprobado
L-2026-1009,M,La Plata,30.1,"3,17",Ama de casa / tareas de cuidado,Secundario completo,Si,35 a 44,Desaprobado
L-2026-1010,M,La Matanza,31.6,"7,68",Empleo informal,Universitario incompleto,Si,35 a 44,Aprobado
L-2026-1011,F,La Plata,35.5,"7,98",Empleado en relación de dependencia,Terciario en curso,No,45 a 54,Aprobado
L-2026-1012,M,La Matanza,36.9,"6,23",Desempleado,Universitario incompleto,No,25 a 34,Aprobado
L-2026-1013,M,Merlo,36.5,"6,14",Empleo informal,Secundario incompleto,Si,25 a 34,Aprobado
L-2026-1014,F,Almirante Brown,32.2,"9,16",Empleado en relación de dependencia,Secundario incompleto,No,45 a 54,Destacado
L-2026-1015,F,Quilmes,37.1,"9,03",Desempleado,Secundario completo,No,25 a 34,Destacado
L-2026-1016,F,Avellaneda,32.4,"2,57",Desempleado,Universitario completo,Si,45 a 54,Desaprobado
